#{"t_start": 1768475795.7959967, "env_id": "None"}
r,l,t
-364.802753,840,5.221477
-374.715999,956,9.815076
-199.240611,1314,40.690936
-372.171455,895,49.054664
-173.3986,1337,79.969068
-124.276752,1339,109.853495
-369.877006,833,119.039181
-378.630013,845,144.865529
-201.381526,1297,154.658607
-339.651263,875,180.910283
-378.856574,981,191.007105
-374.886366,936,216.945699
-302.265359,795,225.866942
-373.868951,815,230.642841
-359.700766,850,259.272992
-396.306419,957,269.566169
-394.027238,893,296.956143
-369.037484,952,308.695122
-373.577074,772,335.212982
-344.805935,866,343.173845
-349.587899,904,355.765696
-345.547838,860,382.667074
379.58241,1432,422.736235
-239.582012,1477,436.813812
397.672041,1257,469.47485
501.158046,775,474.092376
-360.611202,869,504.110947
416.107126,1391,519.883854
544.402707,1062,545.356402
785.594424,1538,586.644911
709.112669,1054,600.943295
1815.979868,1294,638.578671
1426.330897,997,646.785136
1504.629768,1037,681.811286
1529.886173,1217,698.607206
706.651675,1058,734.300745
1773.349954,1220,747.136978
1473.785286,947,775.187565
1292.093291,1046,788.239509
1610.11494,1394,821.00115
1732.627865,1130,852.196501
1795.696202,1236,862.967016
1506.20999,983,889.552106
1309.211108,1048,899.521625
1493.891479,982,929.105434
1690.232356,968,934.824996
1435.050623,792,960.284679
1500.830625,936,969.252907
1483.95635,951,994.780719
1663.213181,1024,1003.70734
1490.808888,918,1012.530854
1701.742398,1102,1037.999354
1793.852821,1169,1067.70071
1973.322162,1164,1076.998487
1447.275332,881,1102.151841
1716.243071,1067,1111.152994
1779.563587,1109,1140.98543
1716.536175,983,1145.962804
1710.524022,1103,1175.511745
1553.076005,1039,1184.37126
1858.088922,920,1209.644344
1839.471275,946,1218.972166
2880.319266,1361,1248.752253
1825.691583,930,1257.748548
1933.365498,1075,1283.761902
1807.890391,882,1292.632389
1642.614156,817,1318.676364
1878.488183,909,1323.895175
2919.354745,1452,1357.568882
2787.609327,1152,1366.696734
1654.862249,908,1392.564639
1852.514209,997,1401.74125
1835.436888,782,1426.402004
2566.561272,1080,1435.846408
1509.736959,875,1461.437028
1673.236986,910,1470.077961
1839.245712,951,1475.266133
2870.837881,1267,1505.182759
1845.50839,932,1514.293348
2909.622667,1373,1543.679135
1917.020361,1075,1570.086628
1852.283082,973,1578.885513
1644.832787,901,1604.769437
2816.093623,1205,1613.69009
1870.952833,925,1645.406871
2494.31353,963,1650.184454
1842.628727,859,1680.351422
1659.185787,929,1686.241751
2976.079162,1192,1718.462635
1678.041872,932,1728.188067
1435.553867,804,1732.711005
1217.846907,754,1759.545348
1661.31782,904,1768.611217
3052.233804,1209,1799.797159
1637.321276,864,1805.146247
1695.23135,996,1835.627866
1808.670655,871,1840.584377
2760.469898,1098,1870.615852
1878.512253,928,1876.092192
1710.885535,1021,1906.695832
1898.787904,1065,1911.312594
2781.720716,1093,1942.440884
3091.762388,1331,1951.669508
1807.40778,815,1981.852947
2770.319404,1112,1986.981575
1869.580002,894,2018.145604
2764.675085,1104,2027.551144
1390.090985,738,2056.065796
1840.518172,926,2061.63568
1422.08847,797,2070.860297
1421.309544,783,2098.461989
1812.618377,884,2103.539253
2849.674054,1315,2136.08348
1454.677733,806,2144.816242
2558.935184,1123,2173.472782
2759.426849,1044,2182.615367
1856.317823,912,2214.108016
1715.468005,971,2219.030905
2519.922318,1096,2251.261664
2778.879448,1226,2260.423526
1441.057454,817,2287.551033
3023.663699,1163,2296.868676
1621.584385,769,2324.833661
1871.097589,897,2334.250399
1918.314755,1013,2362.430436
1470.482724,919,2371.69296
1638.807139,861,2398.786646
1632.523937,827,2404.167654
1659.823131,899,2412.987933
3081.79851,1308,2445.219426
1910.731225,1026,2476.879444
2721.178928,986,2482.098076
3028.189561,1108,2513.659907
3066.472463,1218,2523.557345
3033.485792,1184,2555.434409
1824.714277,970,2560.847178
3043.648349,1203,2592.01099
1801.793922,819,2601.39728
1914.267822,1107,2629.082523
2853.433225,1206,2639.257169
1646.159366,806,2670.014638
1683.776635,876,2675.174012
1873.139455,938,2705.914765
2482.019934,927,2711.157095
1834.217589,932,2738.887231
2759.603822,1125,2748.532126
1848.867647,868,2757.868444
2774.321429,1067,2785.985759
3054.780116,1231,2818.110321
2806.558856,1115,2827.595203
1862.621998,921,2858.922341
3261.52563,1256,2868.698818
2960.945022,1069,2896.316149
2805.412699,1172,2906.064755
3280.702713,1259,2938.744173
1850.62114,859,2948.229977
3088.51797,1318,2980.097849
3016.723071,1174,3012.768891
1603.015726,823,3018.035467
2851.099781,1157,3050.513256
3026.55984,1169,3060.535913
1881.357303,890,3088.624967
1869.549984,943,3098.38794
1884.648144,967,3103.430424
1915.046303,984,3135.869475
1668.604728,905,3141.266963
3061.422755,1121,3173.261607
3050.11369,1191,3205.066561
2839.390584,1170,3215.036985
1831.795622,853,3242.813772
2764.850883,1163,3252.440545
1875.967491,955,3280.137862
3264.129501,1262,3290.001626
1802.562764,876,3320.620592
1647.013121,788,3325.301004
1871.960201,957,3333.914185
1843.000336,872,3361.644269
3030.162597,1126,3370.732962
1858.597826,933,3397.090735
1626.303284,788,3405.645097
2811.953916,1152,3433.173203
1858.359993,870,3441.80237
2809.013659,1091,3472.443104
2845.206266,1203,3482.344246
